metric,AUC-ROC
DCoL_T2,0.6155740227762387
DCoL_F2,0.6112650046168052
DCoL_L1,0.600492459218221
Strong Convexity,0.595260080024623
Smoothness,0.5927977839335181
DCoL_F1v,0.5624807633117883
DCoL_N2,0.5443213296398892
DCoL_F1,0.5353955063096337
DCoL_N1,0.4712219144352109
DCoL_N3,0.46922129886118813
DCoL_F4,0.4619883040935673
DCoL_F3,0.455986457371499
DCoL_L2,0.45106186518928904
DCoL_T1,0.42212988611880575
DCoL_N4,0.38519544475223144
CSG,0.3690366266543551
DCoL_L3,0.2508464142813173
